HPO_ID	term_id	name	N_OMIM_diseases_with_term	frac_OMIM_diseases_with_term	N_Orpha_diseases_with_term	frac_Orpha_diseases_with_term
HP:0030451	30451	Mesenteric cyst	1	0.0001	2	0.0005
HP:0030452	30452	Chylolymphatic mesenteric cyst	0	0	0	0
HP:0030453	30453	Abnormal visual electrophysiology	0	0	0	0
HP:0030454	30454	Abnormal electrooculogram	1	0.0001	0	0
HP:0030455	30455	Abnormality of pattern visual evoked potentials	2	0.0002	4	0.0009
HP:0030456	30456	Abnormality of pattern onset/offset visual evoked potentials	0	0	0	0
HP:0030457	30457	Abnormal amplitude of pattern onset/offset visual evoked potentials	0	0	0	0
HP:0030458	30458	Abnormal timing of pattern onset/offset visual evoked potentials	0	0	0	0
HP:0030460	30460	Abnormal timing of pattern reversal visual evoked potentials	0	0	0	0
HP:0030461	30461	Abnormal timing of flash visual evoked potentials	0	0	0	0
HP:0030462	30462	Abnormal amplitude of flash visual evoked potentials	0	0	0	0
HP:0030463	30463	Asymmetrical distribution of flash visual evoked potentials	0	0	0	0
HP:0030464	30464	Asymmetrical distribution of pattern reversal visual evoked potentials	0	0	0	0
HP:0030465	30465	Undetectable light-adapted electroretinogram	2	0.0002	1	0.0002
HP:0030466	30466	Abnormal full-field electroretinogram	1	0.0001	5	0.0012
HP:0030467	30467	Abnormal pattern electroretinogram	0	0	0	0
HP:0030468	30468	Abnormal multifocal electroretinogram	1	0.0001	1	0.0002
HP:0030469	30469	Abnormal dark-adapted electroretinogram	0	0	3	0.0007
HP:0030470	30470	Abnormal dark-adapted bright flash electroretinogram	0	0	0	0
HP:0030471	30471	Abnormal dark-adapted dim flash electroretinogram	0	0	0	0
HP:0030472	30472	Abnormal light-adapted single flash electroretinogram	0	0	0	0
HP:0030473	30473	Abnormal light-adapted flicker electroretinogram	3	0.0004	0	0
HP:0030474	30474	Undetectable dark-adapted electroretinogram	0	0	1	0.0002
HP:0030475	30475	Abnormal timing of dark-adapted dim flash electroretinogram	0	0	0	0
HP:0030476	30476	Abnormal amplitude of dark-adapted dim flash electroretinogram	0	0	0	0
HP:0030477	30477	Abnormal timing of dark-adapted bright flash electroretinogram	0	0	0	0
HP:0030478	30478	Abnormal amplitude of dark-adapted bright flash electroretinogram	0	0	0	0
HP:0030479	30479	Abnormal amplitude of light-adapted flicker electroretinogram	1	0.0001	0	0
HP:0030480	30480	Abnormal timing of light-adapted flicker electroretinogram	0	0	0	0
HP:0030481	30481	Abnormal amplitude of light-adapted single flash electroretinogram	0	0	0	0
HP:0030482	30482	Abnormal timing of light-adapted single flash electroretinogram	0	0	0	0
HP:0030483	30483	Reduced amplitude of dark-adapted bright flash electroretinogram a-wave	1	0.0001	1	0.0002
HP:0030484	30484	Supernormal dark-adapted bright flash electroretinogram b-wave	0	0	0	0
HP:0030485	30485	Abnormal amplitude of pattern electroretinogram	0	0	1	0.0002
HP:0030486	30486	Abnormal timing of pattern electroretinogram	0	0	1	0.0002
HP:0030487	30487	Abnormal P50/N95 ratio of pattern electroretinogram	0	0	0	0
HP:0030488	30488	Abnormal central response of multifocal electroretinogram	0	0	1	0.0002
HP:0030489	30489	Abnormal paracentral response of multifocal electroretinogram	0	0	0	0
HP:0030490	30490	Exudative vitreoretinopathy	10	0.0012	1	0.0002
HP:0030491	30491	Choriocapillaris atrophy	4	0.0005	4	0.0009
HP:0030493	30493	Abnormality of foveal pigmentation	0	0	0	0
HP:0030494	30494	Macular microaneurysm/hemorrhage	0	0	0	0
HP:0030495	30495	Abnormality morphology of the macular vasculature	0	0	0	0
HP:0030496	30496	Macular exudate	0	0	1	0.0002
HP:0030497	30497	Macular cotton wool spot	0	0	2	0.0005
HP:0030498	30498	Macular thickening	1	0.0001	0	0
HP:0030499	30499	Macular drusen	3	0.0004	2	0.0005
HP:0030500	30500	Yellow/white lesions of the macula	0	0	3	0.0007
HP:0030501	30501	Macular crystals	2	0.0002	0	0
HP:0030502	30502	Retinoschisis	4	0.0005	2	0.0005
HP:0030503	30503	Macular telangiectasia	0	0	2	0.0005
HP:0030504	30504	Grouped congenital hypertrophy of retinal pigment epithelium	0	0	0	0
HP:0030505	30505	Nummular pigmentation of the fundus	4	0.0005	0	0
HP:0030506	30506	Yellow/white lesions of the retina	1	0.0001	4	0.0009
HP:0030507	30507	Retinal crystals	1	0.0001	0	0
HP:0030509	30509	Retinal racemose hemangioma	0	0	0	0
HP:0030510	30510	Combined hamartoma of the retinal pigment epithelium and retina	0	0	0	0
HP:0030511	30511	Bradyopsia	2	0.0002	1	0.0002
HP:0030512	30512	Difficulty adjusting to changes in luminance	2	0.0002	0	0
HP:0030513	30513	Difficulty adjusting from light to dark	0	0	1	0.0002
HP:0030514	30514	Difficulty adjusting from dark to light	0	0	0	0
HP:0030515	30515	Moderately reduced visual acuity	6	0.0007	4	0.0009
HP:0030516	30516	Homonymous hemianopia	0	0	2	0.0005
HP:0030517	30517	Heteronymous hemianopia	0	0	3	0.0007
HP:0030518	30518	Congruous homonymous hemianopia	0	0	0	0
HP:0030519	30519	Congruous heteronymous hemianopia	0	0	0	0
HP:0030520	30520	Binasal hemianopia	0	0	0	0
HP:0030521	30521	Bitemporal hemianopia	0	0	8	0.0019
HP:0030522	30522	Mild constriction of peripheral visual field	0	0	0	0
HP:0030525	30525	Moderate constriction of peripheral visual field	0	0	0	0
HP:0030526	30526	Severe constriction of peripheral visual field	0	0	0	0
HP:0030527	30527	Very severe constriction of peripheral visual field	0	0	0	0
HP:0030528	30528	Paracentral scotoma	5	0.0006	5	0.0012
HP:0030529	30529	Ring scotoma	7	0.0008	1	0.0002
HP:0030530	30530	Arcuate scotoma	0	0	1	0.0002
HP:0030531	30531	Altitudinal visual field defect	0	0	2	0.0005
HP:0030532	30532	Visual acuity test abnormality	0	0	4	0.0009
HP:0030533	30533	Abnormal unaided visual acuity test	0	0	0	0
HP:0030534	30534	Abnormal best corrected visual acuity test	0	0	4	0.0009
HP:0030535	30535	Abnormal pinhole visual acuity test	0	0	0	0
HP:0030536	30536	Unaided visual acuity 0.1 LogMAR	0	0	0	0
HP:0030537	30537	Unaided visual acuity 0.2 LogMAR	0	0	0	0
HP:0030538	30538	Unaided visual acuity 0.3 LogMAR	0	0	0	0
HP:0030539	30539	Unaided visual acuity 0.4 LogMAR	0	0	0	0
HP:0030540	30540	Unaided visual acuity 0.5 LogMAR	0	0	0	0
HP:0030541	30541	Unaided visual acuity 0.6 LogMAR	0	0	0	0
HP:0030542	30542	Unaided visual acuity 0.7 LogMAR	0	0	0	0
HP:0030543	30543	Unaided visual acuity 0.8 LogMAR	0	0	0	0
HP:0030544	30544	Unaided visual acuity 0.9 LogMAR	0	0	0	0
HP:0030545	30545	Unaided visual acuity 1.0 LogMAR	0	0	0	0
HP:0030546	30546	Unaided visual acuity 1.1 LogMAR	0	0	0	0
HP:0030547	30547	Unaided visual acuity 1.2 LogMAR	0	0	0	0
HP:0030548	30548	Unaided visual acuity 1.3 LogMAR	0	0	0	0
HP:0030549	30549	Unaided visual acuity 2.0 LogMAR	0	0	0	0
HP:0030550	30550	Unaided visual acuity 3.0 LogMAR	0	0	0	0
HP:0030551	30551	Visual acuity light perception with projection	0	0	1	0.0002
HP:0030552	30552	Visual acuity light perception without projection	0	0	0	0
HP:0030553	30553	Visual acuity no light perception	2	0.0002	1	0.0002
HP:0030554	30554	Best corrected visual acuity 0.1 LogMAR	0	0	1	0.0002
HP:0030555	30555	Best corrected visual acuity 0.2 LogMAR	0	0	0	0
HP:0030556	30556	Best corrected visual acuity 0.3 LogMAR	0	0	0	0
HP:0030557	30557	Best corrected visual acuity 0.4 LogMAR	0	0	0	0
HP:0030558	30558	Best corrected visual acuity 0.5 LogMAR	0	0	0	0
HP:0030559	30559	Best corrected visual acuity 0.7 LogMAR	0	0	0	0
HP:0030560	30560	Best corrected visual acuity 0.6 LogMAR	0	0	0	0
HP:0030561	30561	Best corrected visual acuity 0.8 LogMAR	0	0	0	0
HP:0030562	30562	Best corrected visual acuity 0.9 LogMAR	0	0	0	0
HP:0030563	30563	Best corrected visual acuity 1.0 LogMAR	0	0	0	0
HP:0030564	30564	Best corrected visual acuity 1.1 LogMAR	0	0	0	0
HP:0030565	30565	Best corrected visual acuity 1.2 LogMAR	0	0	0	0
HP:0030566	30566	Best corrected visual acuity 1.3 LogMAR	0	0	0	0
HP:0030567	30567	Best corrected visual acuity 2.0 LogMAR	0	0	0	0
HP:0030568	30568	Best corrected visual acuity 3.0 LogMAR	0	0	0	0
HP:0030569	30569	Pinhole visual acuity 0.1 LogMAR	0	0	0	0
HP:0030570	30570	Pinhole visual acuity 0.2 LogMAR	0	0	0	0
HP:0030571	30571	Pinhole visual acuity 0.3 LogMAR	0	0	0	0
HP:0030572	30572	Pinhole visual acuity 0.4 LogMAR	0	0	0	0
HP:0030573	30573	Pinhole visual acuity 0.5 LogMAR	0	0	0	0
HP:0030574	30574	Pinhole visual acuity 0.6 LogMAR	0	0	0	0
HP:0030575	30575	Pinhole visual acuity 0.7 LogMAR	0	0	0	0
HP:0030576	30576	Pinhole visual acuity 0.8 LogMAR	0	0	0	0
HP:0030577	30577	Pinhole visual acuity 0.9 LogMAR	0	0	0	0
HP:0030578	30578	Pinhole visual acuity 1.0 LogMAR	0	0	0	0
HP:0030579	30579	Pinhole visual acuity 1.1 LogMAR	0	0	0	0
HP:0030580	30580	Pinhole visual acuity 1.2 LogMAR	0	0	0	0
HP:0030581	30581	Pinhole visual acuity 1.3 LogMAR	0	0	0	0
HP:0030582	30582	Pinhole visual acuity 2.0 LogMAR	0	0	0	0
HP:0030583	30583	Pinhole visual acuity 3.0 LogMAR	0	0	0	0
HP:0030584	30584	Color vision test abnormality	0	0	3	0.0007
HP:0030585	30585	Red desaturation	0	0	0	0
HP:0030586	30586	Abnormal Ishihara plate test	1	0.0001	0	0
HP:0030587	30587	Abnormal Hardy-Rand-Rittler plate test	0	0	0	0
HP:0030588	30588	Abnormal visual field test	0	0	5	0.0012
HP:0030589	30589	Abnormal confrontational visual field test	0	0	0	0
HP:0030590	30590	Abnormal Amsler grid test	0	0	0	0
HP:0030591	30591	Abnormal kinetic perimetry test	0	0	4	0.0009
HP:0030592	30592	Abnormal static perimetry test	0	0	0	0
HP:0030593	30593	Abnormal manual kinetic perimetry test	0	0	0	0
HP:0030594	30594	Abnormal automated kinetic perimetry test	0	0	0	0
HP:0030595	30595	Abnormal static automated perimetry test	0	0	1	0.0002
HP:0030596	30596	Abnormal Humphrey SITA 30-2 perimetry test	0	0	0	0
HP:0030597	30597	Abnormal Humphrey SITA 24-2 perimetry test	0	0	0	0
HP:0030598	30598	Abnormal Humphrey SITA 10-2 perimetry test	0	0	0	0
HP:0030599	30599	Abnormal Esterman grid perimetry test	0	0	0	0
HP:0030601	30601	Abnormal posterior segment imaging	0	0	0	0
HP:0030602	30602	Abnormal fundus autofluorescence imaging	0	0	2	0.0005
HP:0030603	30603	Abnormal optical coherence tomography	0	0	0	0
HP:0030604	30604	Abnormal fundus fluorescein angiography	1	0.0001	2	0.0005
HP:0030605	30605	Abnormal indocyanine green angiography	0	0	0	0
HP:0030606	30606	Abnormal OCT-measured macular thickness	0	0	0	0
HP:0030607	30607	Reduced OCT-measured macular thickness	0	0	0	0
HP:0030608	30608	Increased OCT-measured macular thickness	0	0	0	0
HP:0030609	30609	Photoreceptor layer loss on macular OCT	3	0.0004	2	0.0005
HP:0030610	30610	Photoreceptor outer segment loss on macular OCT	0	0	1	0.0002
HP:0030611	30611	Retinal pigment epithelial loss on macular OCT	0	0	0	0
HP:0030612	30612	Abnormal retinal morphology on macular OCT	0	0	1	0.0002
HP:0030613	30613	Abnormal foveal morphology on macular OCT	0	0	1	0.0002
HP:0030614	30614	Foveal photoreceptor layer loss on macular OCT	0	0	0	0
HP:0030615	30615	Foveal photoreceptor outer segment loss on macular OCT	0	0	1	0.0002
HP:0030616	30616	Foveal retinal pigment epithelial loss on macular OCT	0	0	0	0
HP:0030617	30617	Abnormal OCT-measured foveal thickness	0	0	0	0
HP:0030618	30618	Increased OCT-measured foveal thickness	0	0	1	0.0002
HP:0030619	30619	Reduced OCT-measured foveal thickness	1	0.0001	1	0.0002
HP:0030620	30620	Inner retinal layer loss on macular OCT	0	0	1	0.0002
HP:0030621	30621	Foveal inner retinal layer loss on macular OCT	0	0	0	0
HP:0030622	30622	Abnormal foveal pit on macular OCT	0	0	1	0.0002
HP:0030623	30623	Intraretinal hyporeflective spaces on macular OCT	0	0	0	0
HP:0030624	30624	Subretinal hyporeflective spaces on macular OCT	0	0	0	0
HP:0030625	30625	Hyporeflective spaces on macular OCT	0	0	2	0.0005
HP:0030626	30626	Foveal intraretinal hyporeflective spaces on macular OCT	0	0	0	0
HP:0030627	30627	Foveal hyporeflective spaces on macular OCT	0	0	1	0.0002
HP:0030628	30628	Foveal subretinal hyporeflective spaces on macular OCT	0	0	0	0
HP:0030629	30629	Perifoveal ring of hyperautofluorescence	10	0.0012	2	0.0005
HP:0030630	30630	Irregular central macular autofluorescence	0	0	0	0
HP:0030631	30631	Hyperautofluorescent macular lesion	6	0.0007	2	0.0005
HP:0030632	30632	Hypoautofluorescent macular lesion	1	0.0001	1	0.0002
HP:0030633	30633	Perifoveal ring of hyperautofluorescence surrounded by normal autofluorescence	0	0	0	0
HP:0030634	30634	Perifoveal ring of hyperautofluorescence surrounded by abnormal autofluorescence	0	0	0	0
HP:0030635	30635	Retinal dystrophy with early macular involvement	0	0	0	0
HP:0030636	30636	Occult macular dystrophy	0	0	0	0
HP:0030637	30637	Congenital stationary cone dysfunction	0	0	0	0
HP:0030638	30638	Congenital stationary night blindness with normal fundus	0	0	1	0.0002
HP:0030639	30639	Congenital stationary night blindness with abnormal fundus	0	0	1	0.0002
HP:0030640	30640	Complete congenital stationary night blindness	0	0	0	0
HP:0030641	30641	Incomplete congenital stationary night blindness	0	0	0	0
HP:0030642	30642	Fundus albipunctatus	1	0.0001	0	0
HP:0030643	30643	Vitelliform-like retinal lesions	0	0	0	0
HP:0030644	30644	Blind-spot enlargment	2	0.0002	2	0.0005
HP:0030645	30645	Central	0	0	0	0
HP:0030646	30646	Peripheral	0	0	0	0
HP:0030647	30647	Paracentral	0	0	0	0
HP:0030648	30648	Midperipheral	0	0	0	0
HP:0030649	30649	Pericentral	0	0	0	0
HP:0030650	30650	Focal	0	0	0	0
HP:0030651	30651	Multifocal	0	0	0	0
HP:0030652	30652	Vitreous haze	0	0	3	0.0007
HP:0030654	30654	Umbilical cord cyst	0	0	0	0
HP:0030655	30655	Umbilical cord knot	0	0	0	0
HP:0030656	30656	Umbilical vein varix	0	0	0	0
HP:0030657	30657	Umbilical cord hematoma	0	0	2	0.0005
HP:0030658	30658	Marginal umbilical cord insertion	0	0	0	0
HP:0030659	30659	Velamentous cord insertion	0	0	0	0
HP:0030660	30660	Furcate cord insertion	0	0	0	0
HP:0030661	30661	Vitreous snowballs	0	0	2	0.0005
HP:0030662	30662	Vitreous inflammatory cells	0	0	1	0.0002
HP:0030663	30663	Optically empty vitreous	3	0.0004	0	0
HP:0030664	30664	Beevor's sign	2	0.0002	1	0.0002
HP:0030665	30665	Rubral tremor	0	0	0	0
HP:0030666	30666	Retinal neovascularization	5	0.0006	3	0.0007
HP:0030667	30667	Peripheral retinal neovascularization	1	0.0001	1	0.0002
HP:0030668	30668	Periorbital dermoid cyst	1	0.0001	0	0
HP:0030669	30669	Abnormal ocular adnexa morphology	0	0	1	0.0002
HP:0030670	30670	Hamartoma of the orbital region	0	0	1	0.0002
HP:0030671	30671	Abnormal common tendinous ring morphology	0	0	0	0
HP:0030672	30672	Asteroid hyalosis	4	0.0005	0	0
HP:0030673	30673	Erosive vitreoretinopathy	0	0	0	0
HP:0030674	30674	Antenatal onset	68	0.0081	0	0
HP:0030675	30675	Contracture of proximal interphalangeal joints of 2nd-5th fingers	0	0	0	0
HP:0030676	30676	Satyr ear	2	0.0002	0	0
HP:0030677	30677	Mozart ear	0	0	0	0
HP:0030679	30679	Ash-leaf spot	0	0	0	0
HP:0030680	30680	Abnormal cardiovascular system morphology	40	0.0048	210	0.0491
HP:0030681	30681	Abnormal morphology of myocardial trabeculae	0	0	0	0
HP:0030682	30682	Left ventricular noncompaction	18	0.0022	1	0.0002
HP:0030683	30683	Vaginitis	0	0	1	0.0002
HP:0030684	30684	Abnormal adiponectin level	0	0	0	0
HP:0030685	30685	Decreased adiponectin level	2	0.0002	4	0.0009
HP:0030686	30686	Increased adiponectin level	0	0	0	0
HP:0030687	30687	Abnormal glucagon level	0	0	0	0
HP:0030688	30688	Increased glucagon level	1	0.0001	3	0.0007
HP:0030689	30689	Decreased glucagon level	0	0	0	0
HP:0030690	30690	Gingival cleft	0	0	2	0.0005
HP:0030691	30691	Divergence nystagmus	1	0.0001	0	0
HP:0030692	30692	Brain neoplasm	0	0	10	0.0023
HP:0030693	30693	Supratentorial neoplasm	0	0	2	0.0005
HP:0030694	30694	Pineal parenchymal cell neoplasm	0	0	0	0
HP:0030706	30706	Ranula	0	0	0	0
HP:0030707	30707	Unilateral lung agenesis	1	0.0001	1	0.0002
HP:0030708	30708	Myeloschisis	1	0.0001	0	0
HP:0030709	30709	Myelocystocele	0	0	0	0
HP:0030710	30710	Lipomeningocele	0	0	0	0
HP:0030711	30711	Hydrocolpos	0	0	1	0.0002
HP:0030712	30712	Uterine synechiae	0	0	0	0
HP:0030713	30713	Vein of Galen aneurysmal malformation	1	0.0001	2	0.0005
HP:0030714	30714	Subchorionic thrombohematoma	0	0	0	0
HP:0030715	30715	Bronchial atresia	0	0	0	0
HP:0030716	30716	Acrania	1	0.0001	0	0
HP:0030717	30717	Meconium peritonitis	1	0.0001	0	0
HP:0030718	30718	Right atrial enlargement	13	0.0016	10	0.0023
HP:0030719	30719	Unguarded tricuspid valve	0	0	0	0
HP:0030720	30720	Subchorionic septal cyst	0	0	1	0.0002
HP:0030721	30721	Tetraphocomelia	2	0.0002	0	0
HP:0030722	30722	Ectopic liver	0	0	0	0
HP:0030723	30723	Congenital megalourethra	0	0	0	0
HP:0030724	30724	Central nervous system cyst	1	0.0001	1	0.0002
HP:0030725	30725	Neurenteric cyst	0	0	0	0
HP:0030726	30726	Spinal neurenteric cyst	0	0	0	0
HP:0030727	30727	Intracranial neurenteric cyst	0	0	0	0
HP:0030728	30728	Meromelia	0	0	0	0
HP:0030729	30729	Frontoethmoidal meningocele	0	0	0	0
HP:0030730	30730	Parietal meningocele	0	0	0	0
HP:0030731	30731	Carcinoma	8	0.0010	1	0.0002
HP:0030732	30732	Dysplastic tricuspid valve	5	0.0006	1	0.0002
HP:0030733	30733	Vesicoallantoic abdominal wall defect	0	0	0	0
HP:0030735	30735	Ureterovesical junction obstruction	0	0	1	0.0002
HP:0030736	30736	Sacrococcygeal teratoma	1	0.0001	4	0.0009
HP:0030737	30737	Altman type I sacrococcygeal teratoma	0	0	0	0
HP:0030738	30738	Altman type II sacrococcygeal teratoma	0	0	0	0
HP:0030739	30739	Altman type III sacrococcygeal teratoma	0	0	0	0
HP:0030740	30740	Anomalous muscle bundle of the right ventricle	0	0	0	0
HP:0030741	30741	Mediastinal teratoma	0	0	0	0
HP:0030742	30742	Glial remnants posterior to lens	0	0	0	0
HP:0030743	30743	Glial remnants anterior to the optic disc	0	0	1	0.0002
HP:0030744	30744	Hyaloid vascular remnant and retrolental mass	0	0	1	0.0002
HP:0030745	30745	Dilatation of the ductus arteriosus	2	0.0002	0	0
HP:0030746	30746	Intraventricular hemorrhage	5	0.0006	10	0.0023
HP:0030747	30747	Preterm intraventricular hemorrhage	0	0	0	0
HP:0030748	30748	Grade I preterm intraventricular hemorrhage	0	0	0	0
HP:0030749	30749	Grade II preterm intraventricular hemorrhage	0	0	0	0
HP:0030750	30750	Grade III preterm intraventricular hemorrhage	0	0	0	0
HP:0030751	30751	Grade IV preterm intraventricular hemorrhage	0	0	0	0
HP:0030752	30752	Dacryocystocele	2	0.0002	2	0.0005
HP:0030753	30753	Intrauterine fetal demise of one twin after midgestation	0	0	0	0
HP:0030754	30754	Allantoic cyst	0	0	0	0
HP:0030755	30755	Craniofacial teratoma	0	0	0	0
HP:0030756	30756	Erythrodontia	1	0.0001	2	0.0005
HP:0030757	30757	Tooth abscess	0	0	8	0.0019
HP:0030758	30758	Periapical tooth abscess	0	0	1	0.0002
HP:0030759	30759	Adipocyte hypertrophy	0	0	0	0
HP:0030760	30760	Renal fibrosis	1	0.0001	1	0.0002
HP:0030762	30762	Mesangiolysis	0	0	0	0
HP:0030763	30763	Amniotic Sheet	0	0	0	0
HP:0030764	30764	Ochronosis	1	0.0001	1	0.0002
HP:0030765	30765	Sleep terror	3	0.0004	1	0.0002
HP:0030766	30766	Ear pain	0	0	5	0.0012
HP:0030767	30767	Epignathus	0	0	0	0
HP:0030769	30769	Exencephaly	1	0.0001	1	0.0002
HP:0030770	30770	Craniorachischisis	0	0	0	0
HP:0030771	30771	Mallet finger	1	0.0001	0	0
HP:0030772	30772	Proximal femoral focal deficiency	0	0	1	0.0002
HP:0030773	30773	Internuclear ophthalmoplegia	0	0	2	0.0005
HP:0030774	30774	Mitochondrial swelling	3	0.0004	1	0.0002
HP:0030775	30775	Modic type vertebral endplate changes	0	0	0	0
HP:0030776	30776	Modic type I vertebral endplate changes	0	0	0	0
HP:0030777	30777	Modic type II vertebral endplate changes	0	0	0	0
HP:0030778	30778	Modic type III vertebral endplate changes	0	0	0	0
HP:0030779	30779	Ethmocephaly	1	0.0001	0	0
HP:0030780	30780	Abnormality of the protein C anticoagulant pathway	0	0	0	0
HP:0030781	30781	Increased circulating free fatty acid level	3	0.0004	5	0.0012
HP:0030783	30783	Increased circulating interleukin 6 concentration	10	0.0012	14	0.0033
HP:0030784	30784	Anomic aphasia	1	0.0001	4	0.0009
HP:0030785	30785	Mediastinal cystic lymphangioma	0	0	0	0
HP:0030786	30786	Photopsia	2	0.0002	9	0.0021
HP:0030787	30787	Cerumen abnormality	0	0	0	0
HP:0030788	30788	Impacted cerumen	1	0.0001	0	0
HP:0030789	30789	Excessive cerumen	0	0	0	0
HP:0030790	30790	Abnormal cerumen color	0	0	0	0
HP:0030791	30791	Abnormal jaw morphology	0	0	2	0.0005
HP:0030792	30792	Jaw neoplasm	0	0	0	0
HP:0030793	30793	Jaw swelling	2	0.0002	1	0.0002
HP:0030794	30794	Abnormal circulating C-peptide concentration	0	0	3	0.0007
HP:0030795	30795	Reduced C-peptide level	6	0.0007	2	0.0005
HP:0030796	30796	Increased C-peptide level	3	0.0004	8	0.0019
HP:0030797	30797	Reduced volume of central subdivision of bed nucleus of stria terminalis	0	0	0	0
HP:0030798	30798	Abnormality of the bed nucleus of stria terminalis	0	0	0	0
HP:0030799	30799	Scaphocephaly	36	0.0043	7	0.0016
HP:0030800	30800	Abnormal visual accommodation	0	0	3	0.0007
HP:0030801	30801	Reduced visual accommodation	0	0	0	0
HP:0030802	30802	Lower eyelid retraction	1	0.0001	0	0
HP:0030803	30803	Platonychia	1	0.0001	1	0.0002
HP:0030804	30804	Trachyonychia	3	0.0004	1	0.0002
HP:0030805	30805	Absent lunula	0	0	1	0.0002
HP:0030806	30806	Fast-growing nails	0	0	0	0
HP:0030807	30807	Abnormal nail growth	0	0	0	0
HP:0030808	30808	Ragged cuticle	0	0	0	0
HP:0030809	30809	Abnormal tongue morphology	0	0	5	0.0012
HP:0030810	30810	Abnormal tongue physiology	0	0	1	0.0002
HP:0030811	30811	Tongue pain	0	0	3	0.0007
HP:0030812	30812	Enlarged tonsils	4	0.0005	7	0.0016
HP:0030813	30813	Absent tonsils	2	0.0002	3	0.0007
HP:0030814	30814	Orange discolored tonsils	0	0	1	0.0002
HP:0030815	30815	Lipoma of the tongue	0	0	0	0
HP:0030816	30816	Gingival recession	5	0.0006	1	0.0002
HP:0030817	30817	Beaked nails	0	0	0	0
HP:0030818	30818	Central nail canal	0	0	0	0
HP:0030819	30819	Ski jump nail	0	0	0	0
HP:0030820	30820	Hooded eyelid	5	0.0006	1	0.0002
HP:0030821	30821	Hooded lower eyelid	0	0	0	0
HP:0030822	30822	Hooded upper eyelid	4	0.0005	0	0
HP:0030823	30823	Scleral thickening	2	0.0002	4	0.0009
HP:0030824	30824	Mizuo phenomenon	3	0.0004	2	0.0005
HP:0030825	30825	Absent foveal reflex	12	0.0014	4	0.0009
HP:0030826	30826	Eyelid fasciculation	0	0	2	0.0005
HP:0030828	30828	Wheezing	11	0.0013	26	0.0061
HP:0030829	30829	Abnormal breath sound	0	0	4	0.0009
HP:0030830	30830	Crackles	6	0.0007	20	0.0047
HP:0030831	30831	Rhonchi	1	0.0001	0	0
HP:0030832	30832	Vitreous strands	0	0	0	0
HP:0030833	30833	Neck pain	3	0.0004	17	0.0040
HP:0030834	30834	Shoulder pain	0	0	8	0.0019
HP:0030835	30835	Elbow pain	0	0	2	0.0005
HP:0030836	30836	Wrist pain	2	0.0002	2	0.0005
HP:0030837	30837	Finger pain	0	0	0	0
HP:0030838	30838	Hip pain	8	0.0010	8	0.0019
HP:0030839	30839	Knee pain	10	0.0012	14	0.0033
HP:0030840	30840	Ankle pain	4	0.0005	5	0.0012
HP:0030841	30841	Toe pain	0	0	0	0
HP:0030842	30842	Choking episodes	2	0.0002	11	0.0026
HP:0030843	30843	Cardiac amyloidosis	3	0.0004	6	0.0014
HP:0030844	30844	Undetectable pattern electroretinogram	2	0.0002	0	0
HP:0030845	30845	Heliotrope rash of eyelid	0	0	0	0
HP:0030846	30846	Abnormality of venous physiology	0	0	1	0.0002
HP:0030847	30847	Abnormal jugular venous pressure	0	0	0	0
HP:0030848	30848	Elevated jugular venous pressure	2	0.0002	10	0.0023
HP:0030849	30849	Hepatojugular reflux	0	0	2	0.0005
HP:0030850	30850	Abnormal pulse pressure	0	0	2	0.0005
HP:0030851	30851	Low pulse pressure	0	0	2	0.0005
HP:0030852	30852	High pulse pressure	0	0	0	0
HP:0030853	30853	Heterotaxy	5	0.0006	4	0.0009
HP:0030854	30854	Scleral staphyloma	2	0.0002	0	0
HP:0030855	30855	Anterior staphyloma	0	0	0	0
HP:0030856	30856	Posterior staphyloma	4	0.0005	3	0.0007
HP:0030857	30857	Eye movement-induced pain	0	0	2	0.0005
HP:0030858	30858	Addictive behavior	0	0	1	0.0002
HP:0030859	30859	Anti-topoisomerase I antibody positivity	0	0	2	0.0005
HP:0030860	30860	Abnormal CSF amyloid concentration	0	0	0	0
HP:0030861	30861	Decreased CSF amyloid concentration	0	0	0	0
HP:0030862	30862	Elevated CSF amyloid concentration	0	0	0	0
HP:0030863	30863	Nasal flaring	2	0.0002	3	0.0007
HP:0030864	30864	Intercostal retractions	0	0	5	0.0012
HP:0030865	30865	Large elbow	1	0.0001	1	0.0002
HP:0030866	30866	Large knee	1	0.0001	3	0.0007
HP:0030867	30867	Vertical orbital dystopia	0	0	1	0.0002
HP:0030868	30868	Monorchism	0	0	1	0.0002
HP:0030869	30869	Anorchism	0	0	0	0
HP:0030870	30870	Abnormality of spinal facet joint	0	0	0	0
HP:0030871	30871	Facet joint arthrosis	1	0.0001	1	0.0002
HP:0030872	30872	Abnormal cardiac ventricular function	0	0	8	0.0019
HP:0030873	30873	Anti-centromere antibody positivity	1	0.0001	1	0.0002
HP:0030874	30874	Oxygen desaturation on exertion	1	0.0001	2	0.0005
HP:0030875	30875	Abnormality of pulmonary circulation	0	0	0	0
HP:0030876	30876	Increased pulmonary capillary wedge pressure	0	0	1	0.0002
HP:0030877	30877	Reduced FEV1/FVC ratio	3	0.0004	5	0.0012
HP:0030878	30878	Abnormality on pulmonary function testing	0	0	8	0.0019
HP:0030879	30879	Interlobular septal thickening	4	0.0005	4	0.0009
HP:0030880	30880	Raynaud phenomenon	16	0.0019	36	0.0084
